,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
105,"Ric Flair Drip (& Metro Boomin)",Offset,37184,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
106,"Last Hurrah","Bebe Rexha",36552,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
107,"In My Feelings",Drake,35526,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
108,Money,"Cardi B",35516,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
109,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,35482,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
110,"ocean eyes","Billie Eilish",35296,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
111,"Look Alive (feat. Drake)","BlocBoy JB",34978,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
112,KIKA,6ix9ine,34576,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
113,"Don't Stop Believin'",Journey,34157,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
114,"Another One Bites The Dust - Remastered 2011",Queen,33906,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
115,2002,Anne-Marie,33708,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
116,"Kills You Slowly","The Chainsmokers",33563,https://open.spotify.com/track/1Pz3QmQFBFuI60rxCQBeW6
117,bellyache,"Billie Eilish",33396,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
118,"Don't Stop Me Now - 2011 Mix",Queen,33339,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
119,"Lost In Japan","Shawn Mendes",33233,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
120,Tequila,"Dan + Shay",33168,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
121,"TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix","Tory Lanez",33101,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR
122,"The Middle",Zedd,33093,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
123,"Jocelyn Flores",XXXTENTACION,32988,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
124,Perfect,"Ed Sheeran",32910,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
125,"I Fall Apart","Post Malone",31898,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
126,"Beautiful (feat. Camila Cabello)",Bazzi,31869,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
127,"Confessions of a Dangerous Mind",Logic,31827,https://open.spotify.com/track/5CE0V7z1ePOZQNJNpWxYGA
128,"Young Dumb & Broke",Khalid,31821,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
129,"XO Tour Llif3","Lil Uzi Vert",31595,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
130,"Say You Won't Let Go","James Arthur",31014,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
131,Thunder,"Imagine Dragons",30926,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
132,"Just You and I","Tom Walker",30850,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
133,Believer,"Imagine Dragons",30633,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
134,"Always Remember Us This Way","Lady Gaga",30630,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
135,"Shape of You","Ed Sheeran",30472,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
136,"Havana (feat. Young Thug)","Camila Cabello",30354,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
137,Natural,"Imagine Dragons",29670,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
138,"Nice For What",Drake,29618,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
139,"Kickstart My Heart","Mötley Crüe",29583,https://open.spotify.com/track/1RQwcsdHIW5p86cx8zuf1I
140,"no tears left to cry","Ariana Grande",29570,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
141,"Fall Threw (feat. Young Thug & Gunna)","Rich The Kid",29541,https://open.spotify.com/track/4bi9YrkOvmg4Eb7h00AW2c
142,NASA,"Ariana Grande",29448,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
143,Congratulations,"Post Malone",29407,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
144,Médailles,Loud,29397,https://open.spotify.com/track/2cDpyki1pW4HL7n0zjuvRb
145,"Keanu Reeves",Logic,29275,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
146,HUMBLE.,"Kendrick Lamar",29211,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
147,"Yes Indeed","Lil Baby",29167,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
